timestamp, frameNumber, roiName, z, drPixel, drRef, confidence, userData
6.216532, 22, B37B3544, 190.000000, [0 0 2], [0 0 2], [0.0590952411293983 0.0590952411293983 0.0590952411293983], 
6.216532, 22, A50F49E7, 190.000000, [0 0 2], [0 0 2], [0.0676161423325539 0.0676161423325539 0.0676161423325539], 
6.216532, 22, 1B96C00C, 190.000000, [0 0 15], [0 0 15], [0.0349414050579071 0.0349414050579071 0.0349414050579071], 
6.216532, 22, 89A42D1A, 190.000000, [0 0 1], [0 0 1], [0.0233471021056175 0.0233471021056175 0.0233471021056175], 
6.216532, 22, 9531C9E8, 190.000000, [0 0 14], [0 0 14], [0.0358011238276958 0.0358011238276958 0.0358011238276958], 
6.216532, 22, 98E2D7D2, 190.000000, [0 -3 -26], [0 -0.09375 -26], [0.0214603450149298 0.0214603450149298 0.0214603450149298], 
6.216532, 22, CCE52F79, 190.000000, [2 -5 -7], [0.0625 -0.15625 -7], [0.0205807965248823 0.0205807965248823 0.0205807965248823], 
6.512557, 23, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0589050836861134 0.0589050836861134 0.0589050836861134], 
6.512557, 23, A50F49E7, 190.000000, [0 0 -4], [0 0 -4], [0.0641874298453331 0.0641874298453331 0.0641874298453331], 
6.512557, 23, 1B96C00C, 190.000000, [0 -1 -8], [0 -0.03125 -8], [0.0328969024121761 0.0328969024121761 0.0328969024121761], 
6.512557, 23, 89A42D1A, 190.000000, [0 0 7], [0 0 7], [0.0255470182746649 0.0255470182746649 0.0255470182746649], 
6.512557, 23, 9531C9E8, 190.000000, [0 0 18], [0 0 18], [0.0383346155285835 0.0383346155285835 0.0383346155285835], 
6.512557, 23, 98E2D7D2, 190.000000, [0 -1 -10], [0 -0.03125 -10], [0.0226644333451986 0.0226644333451986 0.0226644333451986], 
6.512557, 23, CCE52F79, 190.000000, [0 3 -7], [0 0.09375 -7], [0.0185512378811836 0.0185512378811836 0.0185512378811836], 
6.808583, 24, B37B3544, 190.000000, [0 0 11], [0 0 11], [0.0561310350894928 0.0561310350894928 0.0561310350894928], 
6.808583, 24, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0655926167964935 0.0655926167964935 0.0655926167964935], 
6.808583, 24, 1B96C00C, 190.000000, [0 0 -2], [0 0 -2], [0.0329538211226463 0.0329538211226463 0.0329538211226463], 
6.808583, 24, 89A42D1A, 190.000000, [0 -1 -14], [0 -0.03125 -14], [0.0257009547203779 0.0257009547203779 0.0257009547203779], 
6.808583, 24, 9531C9E8, 190.000000, [0 0 9], [0 0 9], [0.0390691757202148 0.0390691757202148 0.0390691757202148], 
6.808583, 24, 98E2D7D2, 190.000000, [0 1 -6], [0 0.03125 -6], [0.0223176144063473 0.0223176144063473 0.0223176144063473], 
6.808583, 24, CCE52F79, 190.000000, [0 1 26], [0 0.03125 26], [0.0184088852256536 0.0184088852256536 0.0184088852256536], 
7.104608, 25, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0624792277812958 0.0624792277812958 0.0624792277812958], 
7.104608, 25, A50F49E7, 190.000000, [0 0 2], [0 0 2], [0.0644528716802597 0.0644528716802597 0.0644528716802597], 
7.104608, 25, 1B96C00C, 190.000000, [0 0 8], [0 0 8], [0.0335331000387669 0.0335331000387669 0.0335331000387669], 
7.104608, 25, 89A42D1A, 190.000000, [0 0 13], [0 0 13], [0.0230858288705349 0.0230858288705349 0.0230858288705349], 
7.104608, 25, 9531C9E8, 190.000000, [0 0 8], [0 0 8], [0.0387480594217777 0.0387480594217777 0.0387480594217777], 
7.104608, 25, 98E2D7D2, 190.000000, [1 0 9], [0.03125 0 9], [0.0221985653042793 0.0221985653042793 0.0221985653042793], 
7.104608, 25, CCE52F79, 190.000000, [0 0 14], [0 0 14], [0.0206594225019217 0.0206594225019217 0.0206594225019217], 
7.400634, 26, B37B3544, 190.000000, [0 0 4], [0 0 4], [0.0614034608006477 0.0614034608006477 0.0614034608006477], 
7.400634, 26, A50F49E7, 190.000000, [0 0 4], [0 0 4], [0.0635583028197289 0.0635583028197289 0.0635583028197289], 
7.400634, 26, 1B96C00C, 190.000000, [0 0 3], [0 0 3], [0.0353746749460697 0.0353746749460697 0.0353746749460697], 
7.400634, 26, 89A42D1A, 190.000000, [0 0 9], [0 0 9], [0.0255698841065168 0.0255698841065168 0.0255698841065168], 
7.400634, 26, 9531C9E8, 190.000000, [0 0 14], [0 0 14], [0.0384297743439674 0.0384297743439674 0.0384297743439674], 
7.400634, 26, 98E2D7D2, 190.000000, [0 1 14], [0 0.03125 14], [0.0217381436377764 0.0217381436377764 0.0217381436377764], 
7.400634, 26, CCE52F79, 190.000000, [0 1 13], [0 0.03125 13], [0.0221277195960283 0.0221277195960283 0.0221277195960283], 
7.696659, 27, B37B3544, 190.000000, [0 0 5], [0 0 5], [0.0588988065719604 0.0588988065719604 0.0588988065719604], 
7.696659, 27, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0667673051357269 0.0667673051357269 0.0667673051357269], 
7.696659, 27, 1B96C00C, 190.000000, [0 0 9], [0 0 9], [0.033336266875267 0.033336266875267 0.033336266875267], 
7.696659, 27, 89A42D1A, 190.000000, [0 0 9], [0 0 9], [0.0241768788546324 0.0241768788546324 0.0241768788546324], 
7.696659, 27, 9531C9E8, 190.000000, [0 1 26], [0 0.03125 26], [0.0360266640782356 0.0360266640782356 0.0360266640782356], 
7.696659, 27, 98E2D7D2, 190.000000, [0 2 29], [0 0.0625 29], [0.0207305084913969 0.0207305084913969 0.0207305084913969], 
7.696659, 27, CCE52F79, 190.000000, [1 5 28], [0.03125 0.15625 28], [0.0202208776026964 0.0202208776026964 0.0202208776026964], 
7.992685, 28, B37B3544, 190.000000, [0 0 7], [0 0 7], [0.0578799955546856 0.0578799955546856 0.0578799955546856], 
7.992685, 28, A50F49E7, 190.000000, [0 0 4], [0 0 4], [0.0664788857102394 0.0664788857102394 0.0664788857102394], 
7.992685, 28, 1B96C00C, 190.000000, [0 0 0], [0 0 0], [0.0351215824484825 0.0351215824484825 0.0351215824484825], 
7.992685, 28, 89A42D1A, 190.000000, [0 -1 -6], [0 -0.03125 -6], [0.0257089082151651 0.0257089082151651 0.0257089082151651], 
7.992685, 28, 9531C9E8, 190.000000, [0 0 8], [0 0 8], [0.038756363093853 0.038756363093853 0.038756363093853], 
7.992685, 28, 98E2D7D2, 190.000000, [0 0 30], [0 0 30], [0.0221769474446774 0.0221769474446774 0.0221769474446774], 
7.992685, 28, CCE52F79, 190.000000, [0 0 -4], [0 0 -4], [0.020726228132844 0.020726228132844 0.020726228132844], 
8.288710, 29, B37B3544, 190.000000, [0 0 12], [0 0 12], [0.0605342760682106 0.0605342760682106 0.0605342760682106], 
8.288710, 29, A50F49E7, 190.000000, [0 0 1], [0 0 1], [0.0686157494783401 0.0686157494783401 0.0686157494783401], 
8.288710, 29, 1B96C00C, 190.000000, [0 0 17], [0 0 17], [0.0330325700342655 0.0330325700342655 0.0330325700342655], 
8.288710, 29, 89A42D1A, 190.000000, [0 0 18], [0 0 18], [0.0252473447471857 0.0252473447471857 0.0252473447471857], 
8.288710, 29, 9531C9E8, 190.000000, [0 0 1], [0 0 1], [0.0388888344168663 0.0388888344168663 0.0388888344168663], 
8.288710, 29, 98E2D7D2, 190.000000, [0 1 29], [0 0.03125 29], [0.0212858188897371 0.0212858188897371 0.0212858188897371], 
8.288710, 29, CCE52F79, 190.000000, [-13 -36 7], [-0.40625 -1.125 7], [0.0187532752752304 0.0187532752752304 0.0187532752752304], 
8.584736, 30, B37B3544, 190.000000, [0 0 7], [0 0 7], [0.0596063807606697 0.0596063807606697 0.0596063807606697], 
8.584736, 30, A50F49E7, 190.000000, [0 0 3], [0 0 3], [0.0655436515808105 0.0655436515808105 0.0655436515808105], 
